cluster_id	motif_names	motif_ids
cluster_01	ECM23,GAT4,GAT3,SRD1,YPR013C,wc-1,OPI1,TBS1	MA0293.2,MA0302.2,MA0301.2,MA0389.2,MA0434.2,MA1437.2,MA0349.2,MA0404.1
cluster_02	BAS1,FHL1,ARG80,ARG81,GCN4	MA0278.2,MA0295.2,MA0271.1,MA0272.2,MA0303.3
cluster_03	MOT2,HAP1,GLN3,GAT1,DAL80,GZF3	MA0379.1,MA0312.3,MA0307.1,MA0300.2,MA0289.1,MA0309.2
cluster_04	STP1,STP2,MET28,MET32,RPN4,CRZ1,MET31	MA0394.1,MA0395.2,MA0332.1,MA0334.2,MA0373.1,MA0285.2,MA0333.2
cluster_05	GCR1,GCR2,HSF1,MGA1,SFL1	MA0304.1,MA0305.2,MA0319.2,MA0336.2,MA0377.2
cluster_06	DAL82,TEA1,GSM1,SUT2,YPR196W,EDS1,RGT1,LYS14,YLR278C,PDR8,YRM1,YKL222C,YNR063W,YRR1,STB5,OAF1,URC2	MA0291.1,MA0405.1,MA0308.2,MA0400.2,MA0437.1,MA0294.2,MA0367.2,MA0325.2,MA0430.2,MA0354.2,MA0438.2,MA0428.2,MA0432.1,MA0439.2,MA0392.1,MA0348.2,MA0422.2
cluster_07	TOS8,INO2,INO4,HMRA2,MATALPHA2	MA0408.2,MA0321.1,MA0322.1,MA0318.1,MA0328.2
cluster_08	STB3,SFP1,SUM1	MA0390.2,MA0378.2,MA0398.2
cluster_09	HAP3,HAP2,RIM101	MA0314.3,MA0313.1,MA0368.1
cluster_10	AFT1,AFT2	MA0269.2,MA0270.2
cluster_11	HAC1,MBP1::SWI6,CBF1,PHO4,RTG3,TYE7,nuc-1	MA0310.2,MA0330.1,MA0281.3,MA0357.1,MA0376.2,MA0409.1,MA1436.2
cluster_12	SWI4,RSC30,MBP1,RSC3	MA0401.1,MA0375.2,MA0329.2,MA0374.2
cluster_13	STE12,HCM1,FKH2,NCU00019	MA0393.1,MA0317.2,MA0297.1,MA0929.2
cluster_14	PUT3,SIP4,ECM22,YER184C,ASG1,CAT8,ARO80,ERT1,HAL9,RDR1,CEP3,STB4	MA0358.2,MA0380.2,MA0292.2,MA0424.2,MA0275.1,MA0280.2,MA0273.2,MA0420.2,MA0311.1,MA0360.2,MA0282.2,MA0391.1
cluster_15	YAP6,SKO1,CIN5,YAP1,CST6,YAP3	MA0418.2,MA0382.3,MA0284.3,MA0415.2,MA0286.2,MA0416.2
cluster_16	SNT2,STP3,STP4	MA0384.2,MA0396.2,MA0397.2
cluster_17	NDT80,CUP9,HMRA1	MA0343.2,MA0288.1,MA0327.1
cluster_18	PHO2,YHP1,YOX1	MA0356.1,MA0426.1,MA0433.2
cluster_19	GIS1,REI1,YER130C,RPH1,msn-1,RDS2,TDA9,ZMS1,YPR022C,ADR1,MIG1,MIG2,MIG3,YGR067C,rst2,cre-1,RGM1,MSN2,MSN4	MA0306.2,MA0364.1,MA0423.2,MA0372.2,MA1433.2,MA0362.2,MA0431.2,MA0441.2,MA0436.2,MA0268.2,MA0337.2,MA0338.2,MA0339.2,MA0425.2,MA1431.2,MA1432.2,MA0366.1,MA0341.1,MA0342.1
cluster_20	PDR1,IME1,PDR3,nit-4	MA0352.3,MA0320.1,MA0353.1,MA1435.2
cluster_21	CHA4,SUT1,UGA3	MA0283.1,MA0399.1,MA0410.2
cluster_22	SKN7,RDS1,YLL054C	MA0381.2,MA0361.2,MA0429.1
cluster_23	PHD1,SOK2	MA0355.2,MA0385.2
cluster_24	ACE2,SWI5	MA0267.2,MA0402.2
cluster_25	ASH1,MCM1	MA0276.1,MA0331.1
cluster_26	REB1,NSI1	MA0363.3,MA0421.1
cluster_27	CAD1,YAP7	MA0279.3,MA0419.1
cluster_28	TOD6,DOT6	MA0350.2,MA0351.2
cluster_29	ABF1	MA0265.3
cluster_30	ABF2	MA0266.2
cluster_31	ARR1	MA0274.1
cluster_32	AZF1	MA0277.1
cluster_33	CUP2	MA0287.1
cluster_34	DAL81	MA0290.1
cluster_35	FKH1	MA0296.2
cluster_36	GAL4	MA0299.1
cluster_37	HAP5	MA0316.2
cluster_38	IXR1	MA0323.1
cluster_39	LEU3	MA0324.1
cluster_40	MAC1	MA0326.1
cluster_41	MOT3	MA0340.1
cluster_42	NHP10	MA0344.1
cluster_43	NRG1	MA0347.3
cluster_44	RAP1	MA0359.3
cluster_45	RFX1	MA0365.2
cluster_46	RLM1	MA0369.2
cluster_47	RME1	MA0370.1
cluster_48	ROX1	MA0371.1
cluster_49	SPT15	MA0386.2
cluster_50	SPT2	MA0387.1
cluster_51	SPT23	MA0388.1
cluster_52	TBF1	MA0403.3
cluster_53	TEC1	MA0406.2
cluster_54	THI2	MA0407.1
cluster_55	UPC2	MA0411.2
cluster_56	UME6	MA0412.3
cluster_57	USV1	MA0413.2
cluster_58	XBP1	MA0414.2
cluster_59	YAP5	MA0417.1
cluster_60	YPR015C	MA0435.2
cluster_61	ZAP1	MA0440.1
cluster_62	NCU02182	MA1434.1
